0;115697;151063
0.1;115773;151395
0.2;115883;15153
0.3;115934;151693
0.4;116025;151949
0.5;116153;152285
0.6;116177;151578
0.7;115745;151136
0.8;115714;151294
0.9;115846;151589
1;115918;151647
1.1;115933;151813
1.2;116009;152117
1.3;116154;152365
1.4;115970;151327
1.5;115662;151177
1.6;115692;151445
1.7;115811;151643
1.8;115820;151717
1.9;115885;151957
2;116010;152256
2.1;116134;152015
2.2;115757;151141
2.3;115608;151134
2.4;115682;151435
2.5;115754;151499
2.6;115787;151644
2.7;115895;151922
2.8;116011;152125
2.9;115846;151134
3;115469;150786
3.1;115405;150917
3.2;115498;15116
3.3;115525;151253
3.4;115577;151563
3.5;115760;151981
3.6;115844;151513
3.7;115443;150789
3.8;115302;15082
3.9;115384;151243
4;115551;151353
4.1;115601;151577
4.2;115734;151928
4.3;115926;152254
4.4;115775;151111
4.5;115457;150848
4.6;115464;151067
4.7;115582;151274
4.8;115617;151365
4.9;115669;151601
5;115770;152023
5.1;115885;151652
5.2;115409;150777
5.3;115313;15084
5.4;115431;151208
5.5;115498;151297
5.6;115552;151494
5.7;115680;15181
5.8;115799;152022
5.9;115521;150872
6;115228;150743
6.1;115246;151037
6.2;115384;151248
6.3;115423;15132
6.4;115483;151609
6.5;115616;15199
6.6;115615;151069
6.7;115147;150582
6.8;115102;150703
6.9;115206;151043
7;115268;151128
7.1;115326;151371
7.2;115455;151723
7.3;115600;151669
7.4;115218;150504
7.5;114970;150339
7.6;114966;150606
7.7;115091;150756
7.8;115118;150919
7.9;115217;1512
8;115354;151573
8.1;115485;151482
8.2;115038;150301
8.3;114791;150216
8.4;114841;150534
8.5;115003;150686
8.6;115030;15086
8.7;115145;151208
8.8;115283;151594
8.9;115434;151966
9;115447;151013
9.1;114922;150447
9.2;114874;150548
9.3;114981;150887
9.4;115022;150965
9.5;115068;151238
9.6;115212;151636
9.7;115373;151989
9.8;115508;15234
9.9;115385;151039
10;114917;150754
10.1;114935;150978
10.2;115080;151316
10.3;115126;151401
10.4;115207;151707
10.5;115361;152042
10.6;115509;1524
10.7;115645;152268
10.8;115160;151022
10.9;114993;151046
11;115050;151383
11.1;115190;151572
11.2;115219;151726
11.3;115330;1521
11.4;115488;152519
11.5;115643;152911
11.6;115567;15159
11.7;114963;151079
11.8;114947;15124
11.9;115081;151674
12;115188;151812
12.1;115256;152118
12.2;115434;152591
12.3;115631;153059
12.4;115815;153142
12.5;115278;151346
12.6;114930;151294
12.7;114984;151695
12.8;115201;152057
12.9;115272;152215
13;115397;152649
13.1;115598;15317
13.2;115825;153678
13.3;115882;152508
13.4;115084;151502
13.5;115061;151727
13.6;115218;152263
13.7;115347;152458
13.8;115404;152758
13.9;115582;153257
14;115796;153783
14.1;116006;153603
14.2;115325;151732
14.3;115058;151808
14.4;115167;152328
14.5;115396;152627
14.6;115438;152806
14.7;115555;153238
14.8;115746;153753
14.9;115935;154062
15;115534;151993
15.1;115023;15184
15.2;115092;15222
15.3;115299;152643
15.4;115380;152834
15.5;115476;153225
15.6;115660;153711
15.7;115874;154197
15.8;115689;152358
15.9;114983;151931
16;115014;152325
16.1;115241;152932
16.2;115398;153152
16.3;115508;153454
16.4;115678;153938
16.5;115883;154394
16.6;115645;152392
16.7;114978;15205
16.8;115043;152545
16.9;115281;153054
17;115363;153185
17.1;115417;153561
17.2;115618;154075
17.3;115806;153983
17.4;115137;15201
17.5;114873;152162
17.6;115035;152716
17.7;115266;152975
17.8;115296;153122
17.9;115401;153481
18;115579;153976
18.1;115525;15256
18.2;114806;151879
18.3;114813;152121
18.4;114966;152552
18.5;115066;152685
18.6;115104;15298
18.7;115291;153419
18.8;115471;153466
18.9;114931;151785
19;114676;151823
19.1;114771;152266
19.2;114945;152584
19.3;114995;152726
19.4;115088;153068
19.5;115271;153548
19.6;115375;152676
19.7;114638;151607
19.8;114568;151819
19.9;114714;152293
20;114834;152398
20.1;114858;152599
20.2;114981;153009
20.3;115163;153353
20.4;114854;151708
20.5;114433;151583
20.6;114501;15198
20.7;114677;152285
20.8;114713;15235
20.9;114788;152673
21;114952;153161
21.1;115063;15236
21.2;114372;151369
21.3;114317;151533
21.4;114439;151987
21.5;114554;152107
21.6;114588;152297
21.7;114690;152699
21.8;114869;153093
21.9;114612;151458
22;114146;151275
22.1;114206;151612
22.2;114381;151996
22.3;114446;152098
22.4;114524;152409
22.5;114682;152869
22.6;114873;15301
22.7;114378;151314
22.8;114081;151301
22.9;114159;151697
23;114326;151944
23.1;114370;152058
23.2;114464;152395
23.3;114612;152823
23.4;114795;15311
23.5;114453;151419
23.6;114043;151283
23.7;114090;151627
23.8;114222;15192
23.9;114260;152007
24;114349;152328
24.1;114505;152727
24.2;114680;153108
24.3;114581;151729
24.4;114026;151318
24.5;114028;151544
24.6;114149;151896
24.7;114219;151997
24.8;114267;152268
24.9;114402;152655
25;114556;15309
25.1;114600;152107
25.2;113993;151415
25.3;113937;151592
25.4;114055;152014
25.5;114157;152195
25.6;114229;152456
25.7;114370;152875
25.8;114551;153342
25.9;114706;153142
26;114119;151682
26.1;113945;15176
26.2;114047;152188
26.3;114205;152441
26.4;114271;15264
26.5;114399;152996
26.6;114559;153402
26.7;114722;153782
26.8;114636;152397
26.9;114024;151903
27;114057;152174
27.1;114212;152558
27.2;114299;152658
27.3;114365;152912
27.4;114499;153274
27.5;114637;153642
27.6;114773;153578
27.7;114262;151995
27.8;113999;151999
27.9;114078;152431
28;114228;152699
28.1;114269;152869
28.2;114394;153218
28.3;114553;153638
28.4;114726;154039
28.5;114672;152636
28.6;113983;151938
28.7;113961;152186
28.8;114122;152669
28.9;114244;152836
29;114300;153135
29.1;114460;153576
29.2;114645;154014
29.3;114786;15381
29.4;114157;152023
29.5;113887;152057
29.6;113996;152521
29.7;114173;152849
29.8;114253;153021
29.9;114375;153416
30;114557;153852
30.1;114741;154252
30.2;114671;152776
30.3;113940;151998
30.4;113909;152224
30.5;114069;152694
30.6;114182;152848
30.7;114229;153125
30.8;114392;153543
30.9;114559;153995
31;114702;153528
31.1;113999;151949
31.2;113808;152056
31.3;113922;152576
31.4;114092;152827
31.5;114157;152994
31.6;114279;153358
31.7;114445;153809
31.8;114617;15394
31.9;114141;152017
32;113729;15186
32.1;113778;152263
32.2;113958;152648
32.3;114014;152821
32.4;114118;153194
32.5;114292;153657
32.6;114489;154037
32.7;114326;152291
32.8;113646;151699
32.9;113651;151966
33;113829;152435
33.1;113929;152577
33.2;114008;152899
33.3;114168;153348
33.4;114356;153838
33.5;114436;152793
33.6;113668;151578
33.7;113548;151719
33.8;113701;152206
33.9;113841;152386
34;113900;1526
34.1;114036;152967
34.2;114189;153413
34.3;114359;153145
34.4;113728;151492
34.5;113481;151487
34.6;113541;151933
34.7;113714;152165
34.8;113757;152304
34.9;113846;152638
35;113998;153108
35.1;114180;153059
35.2;113632;151331
35.3;113375;151305
35.4;113429;151692
35.5;113622;151935
35.6;113627;15207
35.7;113721;152438
35.8;113877;152876
35.9;114056;153309
