[2020-04-08;05:15:53.261];126879;157936
[2020-04-08;05:15:53.261];126956;157979
[2020-04-08;05:15:53.266];126929;157981
[2020-04-08;05:15:53.266];126909;157985
[2020-04-08;05:15:53.266];126938;157996
[2020-04-08;05:15:53.266];126939;158040
[2020-04-08;05:15:53.266];126973;158127
[2020-04-08;05:15:53.266];126957;158191
[2020-04-08;05:15:53.266];126938;158228
[2020-04-08;05:15:53.266];126998;158222
[2020-04-08;05:15:53.266];127070;158282
[2020-04-08;05:15:53.266];127077;158319
[2020-04-08;05:15:53.266];127063;158317
[2020-04-08;05:15:53.266];127087;158319
[2020-04-08;05:15:53.266];127112;158391
[2020-04-08;05:15:53.266];127122;158487
[2020-04-08;05:15:53.266];127112;158526
[2020-04-08;05:15:53.266];127087;158547
[2020-04-08;05:15:53.266];127160;158544
[2020-04-08;05:15:53.266];127203;158574
[2020-04-08;05:15:53.266];127199;158581
[2020-04-08;05:15:53.266];127188;158582
[2020-04-08;05:15:53.266];127190;158568
[2020-04-08;05:15:53.266];127205;158624
[2020-04-08;05:15:53.266];127193;158720
[2020-04-08;05:15:53.266];127163;158788
[2020-04-08;05:15:53.266];127200;158783
[2020-04-08;05:15:53.266];127251;158762
[2020-04-08;05:15:53.266];127293;158800
[2020-04-08;05:15:53.266];127315;158820
[2020-04-08;05:15:53.266];127284;158806
[2020-04-08;05:15:53.266];127291;158788
[2020-04-08;05:15:53.266];127283;158772
[2020-04-08;05:15:53.266];127230;158710
[2020-04-08;05:15:53.266];127148;158582
[2020-04-08;05:15:53.266];127109;158354
[2020-04-08;05:15:53.266];127033;158129
[2020-04-08;05:15:53.266];126986;157921
[2020-04-08;05:15:53.266];126889;157748
[2020-04-08;05:15:53.266];126786;157577
[2020-04-08;05:15:53.266];126723;157391
[2020-04-08;05:15:53.267];126665;157335
[2020-04-08;05:15:53.267];126661;157314
[2020-04-08;05:15:53.267];126565;157300
[2020-04-08;05:15:53.267];126585;157238
[2020-04-08;05:15:53.267];126619;157203
[2020-04-08;05:15:53.267];126649;157204
[2020-04-08;05:15:53.267];126612;157182
[2020-04-08;05:15:53.267];126597;157161
[2020-04-08;05:15:53.267];126601;157148
[2020-04-08;05:15:53.267];126603;157199
[2020-04-08;05:15:53.267];126591;157290
[2020-04-08;05:15:53.267];126563;157322
[2020-04-08;05:15:53.267];126593;157355
[2020-04-08;05:15:53.267];126669;157339
[2020-04-08;05:15:53.267];126695;157385
[2020-04-08;05:15:53.267];126714;157436
[2020-04-08;05:15:53.267];126706;157448
[2020-04-08;05:15:53.267];126724;157454
[2020-04-08;05:15:53.267];126747;157547
[2020-04-08;05:15:53.267];126745;157626
[2020-04-08;05:15:53.267];126722;157637
[2020-04-08;05:15:53.267];126750;157604
[2020-04-08;05:15:53.267];126787;157616
