149746;176352
149392;175743
149028;175053
148764;174551
148581;174208
148475;174015
148401;173937
148343;173871
148392;173922
148464;174081
148576;174296
148713;174532
148762;174705
148843;174799
148924;174931
148968;174982
148990;175065
148977;175040
148968;175055
149028;175136
149087;175232
149154;175358
149181;175473
149201;175525
149307;175673
149379;175820
149474;175944
149484;176096
149518;176163
149608;176297
149675;176449
149756;176552
149741;176488
149546;176055
149283;175417
148963;174791
148679;174255
148471;173870
148269;173608
148207;173474
148218;173508
148257;173548
148311;173685
148345;173838
148449;174044
148608;174287
148719;174445
148794;174579
148794;174592
148767;174585
148804;174650
148839;174728
148915;174828
148938;174933
148960;174998
149022;175108
149107;175284
149172;175427
149275;175583
149274;175673
149353;175768
149440;175919
149522;176044
149596;176188
149593;176233
149575;176193
149527;175965
149311;175432
148978;174812
148637;174215
148358;173752
148241;173500
148186;173407
148202;173388
148188;173427
148175;173438
148265;173615
148388;173860
148532;174087
148611;174257
148624;174295
148668;174363
148718;174413
148731;174462
148756;174509
148714;174521
148774;174586
148839;174722
148905;174859
148985;174998
148978;175094
149062;175160
149137;175321
149213;175449
149278;175588
149271;175683
149321;175779
149414;175912
149477;175989
149477;175818
149236;175297
148909;174626
148609;174068
148365;173605
148214;173345
148119;173240
148040;173130
148080;173193
148120;173340
148220;173527
148321;173798
148393;173975
148521;174110
148598;174258
148648;174328
148684;174393
148631;174395
148644;174401
148695;174496
148761;174584
148832;174700
148847;174794
148862;174870
148945;175012
149012;175161
149112;175285
149163;175439
149172;175471
149257;175620
149316;175774
149399;175863
149411;175829
149239;175428
148968;174828
148689;174255
148417;173738
148201;173427
148036;173210
147997;173097
148027;173129
148069;173209
148142;173365
148216;173571
148276;173728
148401;173950
148510;174102
148596;174202
148600;174256
148583;174208
148596;174258
148634;174330
148704;174431
148729;174525
148732;174556
148796;174677
148874;174834
148960;174944
149019;175100
149018;175156
149073;175262
149157;175436
149226;175576
149296;175709
149275;175734
149236;175495
149068;175043
148774;174425
148471;173860
148181;173364
147966;173012
147919;172896
147886;172866
147931;172919
147932;172982
147955;173079
148089;173290
148204;173517
148333;173697
148349;173827
148358;173857
148412;173910
148447;173978
148484;174032
148480;174121
148456;174120
148547;174245
148634;174398
148704;174513
148757;174646
148762;174713
148830;174821
148907;174964
148982;175121
149056;175270
149067;175347
149122;175410
149163;175499
149137;175331
148964;174872
148614;174211
148295;173534
148061;173095
147895;172827
147848;172720
147772;172653
147749;172649
147830;172742
147901;172922
148032;173153
148129;173417
148196;173534
148283;173659
148337;173771
148381;173836
148395;173874
148340;173850
148383;173904
148420;174031
148481;174177
148565;174349
148566;174466
148654;174578
148773;174765
148841;174900
148942;175079
148960;175174
149004;175253
149095;175414
149185;175539
149254;175642
149248;175622
149107;175265
148908;174718
148590;174088
148305;173523
148038;173090
147823;172828
147791;172760
147823;172820
147885;172905
147940;173037
147973;173211
148116;173412
148252;173656
148353;173817
148410;173931
148392;173968
148397;173966
148444;174056
148493;174150
148562;174240
148576;174355
148595;174406
148687;174554
148761;174699
148872;174849
148900;174987
148920;175047
148995;175177
149047;175348
149135;175498
149176;175665
149219;175741
149240;175712
149198;175545
149012;175067
148744;174475
148388;173882
148153;173415
148029;173198
147984;173101
147995;173142
147962;173142
147990;173219
148115;173449
148247;173685
148380;173926
148420;174061
148447;174124
148509;174193
148534;174275
148610;174327
148577;174395
148559;174384
148611;174530
148694;174669
148780;174818
148830;174951
148842;175030
148916;175158
149017;175341
149106;175518
149207;175679
149216;175775
149300;175848
149331;175904
149295;175675
149118;175172
148717;174485
148418;173847
148195;173477
148079;173233
148027;173143
147950;173085
147959;173075
148028;173193
148120;173381
148264;173617
148342;173836
148403;173944
148496;174083
148546;174155
148592;174211
148573;174264
148550;174203
148575;174292
148626;174437
148705;174591
148768;174730
148787;174832
148900;174939
148954;175123
149043;175329
149190;175537
149240;175622
149272;175680
149329;175791
149374;175816
149329;175586
149086;175081
148743;174358
148428;173768
148187;173384
148075;173174
148006;173091
147945;173039
147970;173076
148020;173215
148122;173405
148244;173650
